2	TOC Heading	مادران و دختران
 زندگی در جنگ و زندگی در فرار از جنگ
3	Normal	کاری از برنامه ادبیات جهان
5	Heading 1	سرسخن
6	Normal	برنامه ادبیات جهان به صورت آنلاین و به کمک جمعی عمدتاً رضاکار با هدف ترویج ادبیات فعالیت می‌کند. در سه سال گذشته، ما با حدود ۲۰۰ اشتراک‌کننده از چهار ولایت افغانستان رمان خوانده‌ایم، نویسندگی آموزش داده‌ایم و تلاش کرده‌ایم تا فضایی را برای مواجهه‌ی منظم و ممتد با ادبیات فراهم کنیم. حاصل کار ما برگزاری بیش از دوازده صنف درسی، سیزده گفتگو با نویسندگان و مترجمان فارسی‌زبان و آلمانی‌زبان، نشر یک  با همکاری خانه ادبیات افغانستان و انتشار یادداشت‌های متعددی در روزنامه‌ها و نشریات فارسی‌زبان بوده‌است.
7	Normal	ویژه‌نامه‌ی کنونی در امتداد همین فعالیت‌ها و با محوریت زن و جنگ در چهار بخش به نشر می‌رسد. بخش اول، حاوی هشت گفتگوی دختران دو صنف برنامه ادبیات جهان با مادران و مادربز‌گ‌های‌شان درباره زن، زندگی و جنگ است که میان حوت ۱۴۰۳ الی سرطان ۱۴۰۴ انجام شده‌اند. اطلاعات بیشتر راجع به این گفتگوها در یادداشت بعدی- هشت گفتگو، هزار رندگی (ص. ۴-۵)- آمده ‌است. بخش دوم، پرونده‌ی ویژه‌ای است برای نویسنده‌ی مشهور بلاروسی، سوتلانا الکسیویچ که حاوی پنج یادداشت و نوشته است. این بخش از یک سو مواجهه‌ی دختران با آثار الکسیویچ را مکتوب می‌کند و از سوی دیگر، تحلیلی به دست می‌دهد از آثار این نویسنده. بخش سوم هم ترجمه‌ی دو متن در مورد زنان افغانستان است. اولی، به قلم الیزا گریسوالد در مورد لندی زنان پشتون و زمینه و زمانه‌ی که او مجموعه‌ی از این لندی‌ها را جمع‌آوری و به انگلیسی ترجمه کرده‌است. این متن در واقع هم حاشیه‌ای است بر لندی و هم اشاره‌ی به جهان کم‌تر دیده‌‌شده‌ی زنان مرز‌نشین. دومی هم مقاله‌ی بلندی است به قلم دو مردم‌شناس برجسته‌ی انگلیسی درباره‌ی زنی به نام مریم که حوالی سال‌های ۱۹۷۰ در سرپل می‌زیسته؛ این مقاله تصویر مفصل و قابل‌اتکایی از زندگی زنان روستایی در افغانستان پنجاه سال پیش ترسیم می‌کند و خواننده را در فهم تاریخ‌مند و سمتند وضعیت زنان کمک می‌کند. واپسین بخش این ویژه‌نامه هم متن گفتگوی ما است با مترجم مشهور ادبیات فارسی به آلمانی، یوتا هِمِل غایش درباره تجربیات او از ترجمه و پس پشت ترجمه‌ی ادبیات فارسی در آلمان.
8	Normal	عنوان اصلی این ویژه‌نامه را‌ با اقتفا بر رمان «پدران و پسرانِ» ایوان تورگنیف که در این برنامه خوانده می‌شود، «مادران و دختران» گذاشته‌ایم. عنوان فرعی -زندگی در جنگ و زندگی در فرار از جنگ- هم از متن گفتگوی یکی از دختران با مادرش (ص. ۱۶)‌ گرفته ‌شده‌است. محتویات این ویژه‌نامه با تمام تفاوت‌هایی که در رویکرد‌‌های آن وجود دارد، می‌تواند برای علاقمندان ادبیات، مطالعات زنان، مطالعات منازعه، تاریخ شفاهی و اجتماعی افغانستان کمک کند و سایه-روشن‌هایی از گذشته به پژوهشگرانی این حوزه‌ها به دست بدهد. در این میان، بخش اول این ویژه‌نامه اهمیت بیشتری دارد چرا که هشت گفتگوی دختران با مادربزرگ‌های‌شان، کاری جدید در حوزه‌ی مطالعات زنان و تاریخ شفاهی افغانستان است و در حدی که ما آگاه هستیم، در افغانستان سابقه ندارد. بخش‌های بعدی هم به دلیل ارتباط‌شان به موضوع اصلی این ویژه‌نامه -زن و جنگ- آورده شده‌اند. د‌ر حالی‌که بخش دوم، حکم عرض ارادت و ادای دین به سوتلانا الکسیویچ را دارد، بخش سوم با نیت معرفی آثار ریچارد تاپر و نانسی لیندزفرن تاپر، مخصوصا کتاب «عروس‌های سربدل» به جامعه‌ی کتاب‌خوان افغانستان و نیز دیدن جهان زنان کم‌تر دیده‌‌شده‌ی مرزنشین گنجانده شده ‌است. بخش آخری هم حکم معرفی و سپاسگزاری از یکی از پرکارترین مترجمان آلمانی که از فارسی ترجمه می‌کند را دارد.
9	Normal	طبیعتاً کسانی زیادی در شکل‌گیری این ویژه‌نامه سهم داشته‌اند و بدون حضور و همکاری کاملاً رضاکارانه‌ی این‌ بزرگان، امکان جمع‌آوری و نشر این ویژه‌ٰنامه وجود نداشت. دخترانی که با مادران و مادر‌بزرگ‌های‌شان گفتگو کردند و متن گفتگو‌ها را با تمام اندوه نهفته در آن، در قالب روایت پیاده کردند، قطعاً مهم‌ترین نقش را در تهیه‌ی این ویژه‌نامه داشتند. شنیدن و نوشتن درباره‌ی زندگی زنان در جنگ‌های ممتد افغانستان دل و جرأت و شجاعتی می‌خواهد که کم‌ کسی از خود نشان داده می‌تواند. از دخترانی که چنین نقشی را به عهده گرفتند، سپاسگزاریم. از دوستانی که نوشته‌های‌شان را در قالب ترجمه و یادداشت در اختیار ما قرار دادند، هم قدردانی می‌کنیم. مشخصاًاز پروفیسور ریچارد تاپر و نانسی لیندزفرن تاپر که اجازه‌ی ترجمه و نشر مقاله‌ی‌شان را دادند، از یوتا هِمِل‌غایش که در برنامه‌ ادبیات جهان حضور یافت و با حوصله به گفتگو با ما و دختران پرداخت، از طاهر احمدی، م.‌ کلانترپور و ز. حبیبی که در بخش پرونده‌ی ویژه‌ی الکسیویچ نوشتند و از محمد محمدی که مقاله‌ی بلند «قصه‌ی مریم و هم‌باغش» را ترجمه کرد، سپاسگزاریم. هم‌چنین از هما سعادت که در تنظیم گفتگو‌ها نقش به سزایی داشت و م. عارفی که متن گفتگو با یوتا هِمِل‌غایش را با دقت پیاده کرد، تشکر می‌کنیم. قطعاً این ویژه‌نامه بدون زحمات ضیافت‌الله سعیدی که مسئوولیت گردهم‌آوری و ویرایش آن را به عهده داشت، وجود نمی‌داشت. از او هم بابت زحماتش متشکریم.
10	Normal	امیدواریم خوانندگان این ویژه‌نامه محتوای درخوری و قابل تأملی در آن ببیند و از خواندن آن لذت ببرند. هم‌چنان امیدواریم که خوانندگان با الهام از این ویژه‌نامه، به روایت‌ زندگی زنان و به حاشیه‌‌رانده‌شدگان افغانستان بپردازند تا فهم ما از وضعیت دقیق‌تر و عینی‌تر شود. طبیعتاً، این مجموعه نه اولین و نه آخرین کار برنامه ادبیات جهان است و دوستانی که علاقمند دنبال کردن فعالیت‌های ما استند، می‌توانند با استفاده از کیو‌آر‌‌کود پایینی به کانال تلگرام ما بپیوندند.
11	Normal	با مهر
12	Normal	تیم برنامه ادبیات جهان
